ID,MDU,ST,BAPS_level1,BAPS_level2,country,continent,year,sample_type,lzd_genotype,van_operon,cfr,cfrB,cfrD,optrA,poxtA
SRR13080472,No,480,3,14,Belgium,Europe,2019,human/clinical,optrA,,,,,yes,
SRR13080473,No,480,3,14,Belgium,Europe,2019,human/clinical,optrA,,,,,yes,
SRR13587488,No,772,1,1,China,Asia,2015,human/clinical,optrA,,,,,yes,
SRR13587489,No,249,7,36,China,Asia,2015,human/clinical,optrA,,,,,yes,
SRR13587496,No,585,2,7,China,Asia,2017,human/clinical,optrA,,,,,yes,
SRR13587498,No,16,3,14,China,Asia,2017,human/clinical,optrA,,,,,yes,
SRR13587499,No,585,3,14,China,Asia,2017,human/clinical,optrA,,,,,yes,
SRR19441645,No,28,1,3,Australia,Oceania,2019,human/clinical,cfr(D),,,,yes,yes,
SRR6456333,No,585,2,7,Germany,Europe,2015,human/clinical,optrA,vanA,,,,yes,
SRR6456335,No,21,3,14,Germany,Europe,2016,human/clinical,optrA,,,,,yes,
SRR6456338,No,585,8,38,Germany,Europe,2016,human/clinical,optrA,,,,,yes,
SRR6456339,No,480,2,7,Germany,Europe,2015,human/clinical,"cfr(D), optrA",,,,yes,yes,
SRR6456340,No,21,8,38,Germany,Europe,2016,human/clinical,"cfr(D), optrA",,,,yes,yes,
SRR6456342,No,480,2,7,Germany,Europe,2016,human/clinical,optrA,,,,,yes,
SRR6456346,No,480,11,49,Germany,Europe,2016,human/clinical,optrA,,,,,yes,
SRR6456347,No,480,6,28,Germany,Europe,2016,human/clinical,optrA,,,,,yes,
SRR6456348,No,16,6,26,Germany,Europe,2016,human/clinical,optrA,,,,,yes,
SRR6456349,No,480,1,5,Germany,Europe,2016,human/clinical,optrA,,,,,yes,
SRR6456350,No,585,6,26,Germany,Europe,2016,human/clinical,optrA,,,,,yes,
SRR6456351,No,16,6,28,Germany,Europe,2016,human/clinical,optrA,,,,,yes,
SRR7658823,No,476,1,5,Germany,Europe,2017,human/clinical,optrA,,,,,yes,
SRR7658824,No,40,2,13,Germany,Europe,2017,human/clinical,optrA,,,,,yes,
SRR9021436,No,,2,13,South Africa,Asia,2017,human/clinical,optrA,,,,,yes,
SRR13712557,No,93,3,14,Canada,North America,2015,environment,optrA,,,,,yes,
SRR13712587,No,476,1,5,Canada,North America,2015,environment,optrA,,,,,yes,
SRR13712598,No,207,4,20,Canada,North America,2015,environment,optrA,,,,,yes,
SRR13725703,No,476,2,8,Canada,North America,2015,environment,optrA,,,,,yes,
SRR13725714,No,93,1,3,Canada,North America,2015,environment,optrA,,,,,yes,
SRR13726504,No,207,2,8,Canada,North America,2015,environment,optrA,,,,,yes,
SRR13726515,No,179,7,34,Canada,North America,2015,environment,cfr(C),,,,,,
SRR13726536,No,179,1,5,Canada,North America,2015,environment,cfr(C),,,,,,
SRR19309658,No,895,2,10,Malaysia,Asia,2020,animal,optrA,,,,,yes,
SRR21102103,No,631,3,14,Belgium,Europe,2019,animal,optrA,,,,,yes,
SRR21102104,No,40,2,7,Belgium,Europe,2020,animal,optrA,,,,,yes,
SRR21102105,No,843,2,8,Belgium,Europe,2019,animal,optrA,,,,,yes,
SRR21102106,No,40,3,14,Belgium,Europe,2020,animal,optrA,,,,,yes,
SRR21102108,No,474,3,14,Belgium,Europe,2020,animal,optrA,,,,,yes,
SRR21102112,No,207,3,16,Belgium,Europe,2020,animal,optrA,,,,,yes,
SRR21102117,No,58,2,7,Belgium,Europe,2020,animal,optrA,,,,,yes,
SRR21102118,No,480,2,7,Belgium,Europe,2020,animal,optrA,,,,,yes,
SRR21102119,No,16,2,7,Belgium,Europe,2019,animal,optrA,,,,,yes,
SRR21102120,No,40,2,7,Belgium,Europe,2019,animal,optrA,,,,,yes,
SRR21102122,No,480,2,7,Belgium,Europe,2019,animal,optrA,,,,,yes,
SRR21102129,No,480,2,7,Belgium,Europe,2019,animal,optrA,,,,,yes,
SRR21102132,No,-,3,14,Belgium,Europe,2019,animal,optrA,,,,,yes,
SRR23460006,No,16,2,7,China,Asia,2022,,optrA,,,,,yes,
SRR23460007,No,-,8,38,China,Asia,2022,,optrA,,,,,yes,
SRR23460008,No,-,2,9,China,Asia,2022,,optrA,,,,,yes,
SRR23460009,No,-,8,38,China,Asia,2022,,optrA,,,,,yes,
SRR23460010,No,-,3,14,China,Asia,2022,,optrA,,,,,yes,
SRR23460011,No,-,2,9,China,Asia,2022,,optrA,,,,,yes,
SRR13587490,No,16,3,14,China,Asia,2014,human,optrA,,,,,yes,
SRR13587491,No,480,3,14,China,Asia,2014,human,optrA,,,,,yes,
SRR13587492,No,480,3,14,China,Asia,2013,human,optrA,,,,,yes,
SRR13587493,No,-,2,7,China,Asia,2012,human,optrA,,,,,yes,
SRR13587494,No,16,3,14,China,Asia,2012,human,optrA,,,,,yes,
SRR13587495,No,480,8,38,China,Asia,2012,human,optrA,,,,,yes,
SRR13587500,No,16,2,7,China,Asia,2012,human,optrA,,,,,yes,
SRR13587501,No,368,6,26,China,Asia,2012,human,optrA,,,,,yes,
SRR5407742,No,-,2,8,China,Asia,2012,,optrA,,,,,yes,
SRR6456332,No,-,6,28,Germany,Europe,2014,human,optrA,,,,,yes,
Reference,,,,,,,,,,,,,,,
